"","x"
"1","B1AK53"
"2","O00116"
"3","O00217"
"4","O00330"
"5","O00410"
"6","O00505"
"7","O00505;O00629"
"8","O00767"
"9","O14497;Q8NFD5"
"10","O14545"
"11","O14647"
"12","O14757"
"13","O14925;Q5SRD1"
"14","O14966"
"15","O15027"
"16","O15228"
"17","O15231"
"18","O15371"
"19","O15498"
"20","O15541"
"21","O43423;O95626;P39687"
"22","O43439"
"23","O43482"
"24","O43491"
"25","O43615"
"26","O43847"
"27","O60244"
"28","O60684"
"29","O60884"
"30","O60888"
"31","O75051"
"32","O75150;Q5VTR2"
"33","O75179"
"34","O75190"
"35","O75251"
"36","O75438"
"37","O75586"
"38","O75976"
"39","O95298"
"40","O95757"
"41","O95785"
"42","O96019"
"43","P00387"
"44","P04150"
"45","P04843"
"46","P07203"
"47","P07686"
"48","P07900"
"49","P07992"
"50","P10398;P15056;P04049"
"51","P10515"
"52","P10599;THIO_HUMAN"
"53","P11117"
"54","P11388;Q02880"
"55","P11717"
"56","P13473"
"57","P13861;P31323"
"58","P16615"
"59","P18124"
"60","P18206"
"61","P19012"
"62","P21912"
"63","P21980"
"64","P23142"
"65","P23246"
"66","P23610"
"67","P23634"
"68","P24928"
"69","P25788"
"70","P27694"
"71","P28070"
"72","P28799"
"73","P29317"
"74","P29375"
"75","P30533"
"76","P30566"
"77","P31153"
"78","P31749"
"79","P31946"
"80","P32519"
"81","P34896"
"82","P35580;P35579"
"83","P36578"
"84","P39023"
"85","P39656"
"86","P42858"
"87","P43490"
"88","P48739"
"89","P49354"
"90","P49356"
"91","P49590"
"92","P50579"
"93","P51531;P51532"
"94","P51617"
"95","P52292"
"96","P53597"
"97","P53618"
"98","P55884"
"99","P56282"
"100","P56937"
"101","P61009"
"102","P61225"
"103","P62316"
"104","P62847"
"105","P62910"
"106","P82930"
"107","P83436"
"108","P86790;P86791"
"109","Q01167"
"110","Q02878"
"111","Q03169"
"112","Q06210"
"113","Q06546"
"114","Q07020"
"115","Q07666"
"116","Q08170;Q13247"
"117","Q08257"
"118","Q0VDG4"
"119","Q12797"
"120","Q12907"
"121","Q12972"
"122","Q13443"
"123","Q13459"
"124","Q13485"
"125","Q13613"
"126","Q13829;Q9H3F6;Q8WZ19"
"127","Q13951"
"128","Q14152"
"129","Q14571;Q14643"
"130","Q14765"
"131","Q15021"
"132","Q15118"
"133","Q15257"
"134","Q15311"
"135","Q15542"
"136","Q16186"
"137","Q16527"
"138","Q16795"
"139","Q29RF7;Q9NTI5"
"140","Q5JSZ5"
"141","Q5JUR7"
"142","Q5PRF9"
"143","Q5T3J3"
"144","Q5VZL5"
"145","Q68CQ7"
"146","Q6IAA8"
"147","Q6P2P2"
"148","Q6P4R8"
"149","Q6P996"
"150","Q6PCD5"
"151","Q6ZW49"
"152","Q7L523;Q5VZM2"
"153","Q7L5D6"
"154","Q7LGA3"
"155","Q7Z7G8"
"156","Q86WJ1"
"157","Q86X76"
"158","Q86YP4;Q8WXI9"
"159","Q8IVQ6"
"160","Q8IWT6"
"161","Q8IYB7"
"162","Q8N0Y7;P15259;P18669"
"163","Q8N108"
"164","Q8N201"
"165","Q8NBQ5"
"166","Q8NBZ7"
"167","Q8NCA5;Q52LJ0"
"168","Q8NCF5"
"169","Q8NCP5"
"170","Q8NFI3"
"171","Q8TA86"
"172","Q8TAM2"
"173","Q8TBA6"
"174","Q8TDY2"
"175","Q8TES7"
"176","Q92520"
"177","Q92542"
"178","Q92597"
"179","Q92610"
"180","Q92673"
"181","Q92769;Q13547"
"182","Q92925"
"183","Q92990"
"184","Q96A49"
"185","Q96AG4"
"186","Q96CP2"
"187","Q96DF8"
"188","Q96HW7"
"189","Q96K76"
"190","Q96L58"
"191","Q96QD9"
"192","Q96RT6;Q96PC5"
"193","Q96T23"
"194","Q99590"
"195","Q99623"
"196","Q99961"
"197","Q9BPY3"
"198","Q9BRX8"
"199","Q9BVQ7"
"200","Q9BY76"
"201","Q9BZZ5"
"202","Q9H0E2"
"203","Q9H0R1"
"204","Q9H1E3"
"205","Q9H2D6"
"206","Q9H3P2"
"207","Q9H5V8"
"208","Q9H6T3"
"209","Q9H8M2"
"210","Q9H9A5"
"211","Q9HAU0"
"212","Q9HBM6;Q16594"
"213","Q9HCI7"
"214","Q9NQ50"
"215","Q9NS87"
"216","Q9NUA8"
"217","Q9NUP1"
"218","Q9NVH1"
"219","Q9NW15"
"220","Q9NX46"
"221","Q9NXC5"
"222","Q9NXR5"
"223","Q9NZ01"
"224","Q9P281"
"225","Q9P289;O00506"
"226","Q9UDY4"
"227","Q9UIQ6"
"228","Q9UJX5"
"229","Q9UKI2"
"230","Q9UKI8;Q86UE8"
"231","Q9UKX2"
"232","Q9ULM3"
"233","Q9UNF1"
"234","Q9UNS2"
"235","Q9UPT9"
"236","Q9UPV9"
"237","Q9UPY3"
"238","Q9UQ16;P50570"
"239","Q9Y262"
"240","Q9Y2W6"
"241","Q9Y2X9"
"242","Q9Y314"
"243","Q9Y324"
"244","Q9Y3C8"
"245","Q9Y3E7"
"246","Q9Y484"
"247","Q9Y487"
"248","Q9Y4E5"
"249","Q9Y4P8"
"250","Q9Y4R8"
"251","Q9Y6K0"
"252","Q9Y6Q5;Q9BXS5"
"253","Q9Y6W5"
